(?d <http://schema.org/alumniOf> yago:Janáček_Academy_of_Music_and_Performing_Arts) ^ (?d <http://schema.org/alumniOf> ?c) ^ (?b <http://schema.org/subOrganization> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<31649.0__46450.0)_ef10_10/10>) | support: 21, headCoverage: 0.01282051282051282, confidence: 0.5833333333333334, lift: 5.460000000000001, headConfidence: 0.10683760683760683, headSize: 1638, bodySize: 36
(?d schema:elevation <http://www.wikidata.org/value/70eb4afb98c20be521b76afe89dc5d89>) ^ (?c <http://schema.org/containsPlace> ?d) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<12994.5__14786.5)_ef10_6/10>) | support: 18, headCoverage: 0.01098901098901099, confidence: 0.16666666666666666, lift: 1.6956521739130435, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 108
(?d schema:elevation <http://www.wikidata.org/value/c6e6c5a8db71677cb954d59520211889>) ^ (?c <http://schema.org/containsPlace> ?d) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<12994.5__14786.5)_ef10_6/10>) | support: 18, headCoverage: 0.01098901098901099, confidence: 0.16666666666666666, lift: 1.6956521739130435, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 108
(?d schema:elevation <http://www.wikidata.org/value/27c05b02ef1b81d97a7af752ee34a08b>) ^ (?c <http://schema.org/containsPlace> ?d) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<12994.5__14786.5)_ef10_6/10>) | support: 18, headCoverage: 0.01098901098901099, confidence: 0.16666666666666666, lift: 1.6956521739130435, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 108
(?d schema:elevation <http://www.wikidata.org/value/ec4b7f705daf73e0290887ccb26c1956>) ^ (?d <http://schema.org/location> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:podilNezamestnanych <<8.36__9.43)_ef10_9/10>) | support: 18, headCoverage: 0.01098901098901099, confidence: 0.16666666666666666, lift: 1.625, headConfidence: 0.10256410256410256, headSize: 1638, bodySize: 108
(?d schema:elevation <http://www.wikidata.org/value/4fd967b01838c75ae74ee8ca38441373>) ^ (?d <http://schema.org/location> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:podilNezamestnanych <<8.36__9.43)_ef10_9/10>) | support: 18, headCoverage: 0.01098901098901099, confidence: 0.16666666666666666, lift: 1.625, headConfidence: 0.10256410256410256, headSize: 1638, bodySize: 108
(?d schema:elevation <http://www.wikidata.org/value/b2e89282aaa0db8c82f4e45fd75f3084>) ^ (?d <http://schema.org/location> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:podilNezamestnanych <<8.36__9.43)_ef10_9/10>) | support: 18, headCoverage: 0.01098901098901099, confidence: 0.16666666666666666, lift: 1.625, headConfidence: 0.10256410256410256, headSize: 1638, bodySize: 108
(?d schema:elevation <http://www.wikidata.org/value/4d6368dd81756346b9d84d0b0695a992>) ^ (?c <http://schema.org/containsPlace> ?d) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:podilNezamestnanych <<4.28__4.89)_ef10_2/10>) | support: 19, headCoverage: 0.0115995115995116, confidence: 0.15079365079365079, lift: 1.5341614906832297, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 126
(?d schema:elevation <http://www.wikidata.org/value/1e97a90e6aa04e1af0c2b868d427754a>) ^ (?c <http://schema.org/containsPlace> ?d) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<12994.5__14786.5)_ef10_6/10>) | support: 19, headCoverage: 0.0115995115995116, confidence: 0.15079365079365079, lift: 1.5341614906832297, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 126
(?d <http://schema.org/containsPlace> yago:Kutná_Hora_District) ^ (?d <http://schema.org/foundingDate> ?c) ^ (?b <http://schema.org/foundingDate> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<8219.0__9024.0)_ef10_2/10>) | support: 21, headCoverage: 0.01282051282051282, confidence: 0.14583333333333334, lift: 1.483695652173913, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 144
(?d <http://schema.org/sameAs> "https://ceb.wikipedia.org/wiki/Olomouck%C3%BD_kraj") ^ (?d <http://schema.org/foundingDate> ?c) ^ (?b <http://schema.org/foundingDate> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:podilNezamestnanych <<2.85__4.28)_ef10_1/10>) | support: 21, headCoverage: 0.01282051282051282, confidence: 0.14583333333333334, lift: 1.483695652173913, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 144
(?d schema:elevation <http://www.wikidata.org/value/7504ccdd37f36c638b457186c356d64e>) ^ (?d <http://schema.org/location> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:podilNezamestnanych <<6.14__6.74)_ef10_5/10>) | support: 18, headCoverage: 0.01098901098901099, confidence: 0.14285714285714285, lift: 1.4534161490683228, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 126
(?d schema:elevation <http://www.wikidata.org/value/1bdc2a2a7270d842fa8b4840365ee491>) ^ (?c <http://schema.org/containsPlace> ?d) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<14786.5__18294.0)_ef10_7/10>) | support: 18, headCoverage: 0.01098901098901099, confidence: 0.14285714285714285, lift: 1.4534161490683228, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 126
(?d schema:elevation <http://www.wikidata.org/value/4d6368dd81756346b9d84d0b0695a992>) ^ (?c <http://schema.org/containsPlace> ?d) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<10695.5__11971.0)_ef10_4/10>) | support: 18, headCoverage: 0.01098901098901099, confidence: 0.14285714285714285, lift: 1.4534161490683228, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 126
(?c <http://schema.org/deathPlace> yago:Prague) ^ (?c <http://schema.org/birthPlace> ?b) ^ (?b <http://schema.org/foundingDate> "2000-11-12") ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<12994.5__14786.5)_ef10_6/10>) | support: 18, headCoverage: 0.01098901098901099, confidence: 0.14285714285714285, lift: 1.4534161490683228, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 126
(?c <http://schema.org/deathPlace> yago:Prague) ^ (?c <http://schema.org/birthPlace> ?b) ^ (?b <http://schema.org/foundingDate> "2000-11-12") ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<10695.5__11971.0)_ef10_4/10>) | support: 18, headCoverage: 0.01098901098901099, confidence: 0.14285714285714285, lift: 1.4534161490683228, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 126
(?d schema:elevation <http://www.wikidata.org/value/1e97a90e6aa04e1af0c2b868d427754a>) ^ (?c <http://schema.org/containsPlace> ?d) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:podilNezamestnanych <<4.28__4.89)_ef10_2/10>) | support: 18, headCoverage: 0.01098901098901099, confidence: 0.14285714285714285, lift: 1.4534161490683228, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 126
(?d schema:elevation <http://www.wikidata.org/value/4d6368dd81756346b9d84d0b0695a992>) ^ (?c <http://schema.org/containsPlace> ?d) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<11971.0__12994.5)_ef10_5/10>) | support: 18, headCoverage: 0.01098901098901099, confidence: 0.14285714285714285, lift: 1.4534161490683228, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 126
(?d schema:elevation <http://www.wikidata.org/value/6a146b978cea46f467fbbd6bdd069e62>) ^ (?c <http://schema.org/containsPlace> ?d) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<12994.5__14786.5)_ef10_6/10>) | support: 18, headCoverage: 0.01098901098901099, confidence: 0.14285714285714285, lift: 1.4534161490683228, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 126
(?d schema:elevation <http://www.wikidata.org/value/326cfc3736a34b0972bc84a1e5df3195>) ^ (?d <http://schema.org/location> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:podilNezamestnanych <<2.85__4.28)_ef10_1/10>) | support: 18, headCoverage: 0.01098901098901099, confidence: 0.14285714285714285, lift: 1.4534161490683228, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 126
(?d <http://schema.org/nationality> yago:Czechoslovakia) ^ (?d <http://schema.org/alumniOf> ?c) ^ (?b <http://schema.org/subOrganization> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<9024.0__10695.5)_ef10_3/10>) | support: 19, headCoverage: 0.0115995115995116, confidence: 0.13194444444444445, lift: 1.403409090909091, headConfidence: 0.09401709401709402, headSize: 1638, bodySize: 144
(?d schema:elevation <http://www.wikidata.org/value/97fcfe201fffe95bc4b1a5604e13dd0c>) ^ (?d <http://schema.org/location> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:podilNezamestnanych <<8.36__9.43)_ef10_9/10>) | support: 18, headCoverage: 0.01098901098901099, confidence: 0.14285714285714285, lift: 1.3928571428571428, headConfidence: 0.10256410256410256, headSize: 1638, bodySize: 126
(?d <http://schema.org/deathPlace> yago:Prague) ^ (?d <http://schema.org/alumniOf> ?c) ^ (?b <http://schema.org/subOrganization> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<31649.0__46450.0)_ef10_10/10>) | support: 21, headCoverage: 0.01282051282051282, confidence: 0.14583333333333334, lift: 1.3650000000000002, headConfidence: 0.10683760683760683, headSize: 1638, bodySize: 144
(?c <http://schema.org/containsPlace> yago:Ústí_nad_Labem_Region) ^ (?c <http://schema.org/containsPlace> ?b) ^ (?b <http://schema.org/foundingDate> "2000-11-12") ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:podilNezamestnanych <<6.14__6.74)_ef10_5/10>) | support: 19, headCoverage: 0.0115995115995116, confidence: 0.13194444444444445, lift: 1.3423913043478262, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 144
(?d <http://schema.org/sameAs> "https://vi.wikipedia.org/wiki/%C3%9Ast%C3%AD_nad_Labem_(v%C3%B9ng)") ^ (?d <http://schema.org/foundingDate> ?c) ^ (?b <http://schema.org/foundingDate> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:podilNezamestnanych <<5.61__6.14)_ef10_4/10>) | support: 19, headCoverage: 0.0115995115995116, confidence: 0.13194444444444445, lift: 1.3423913043478262, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 144
(?d <http://schema.org/deathPlace> yago:Prague) ^ (?d <http://schema.org/alumniOf> ?c) ^ (?b <http://schema.org/subOrganization> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<6297.0__8219.0)_ef10_1/10>) | support: 19, headCoverage: 0.0115995115995116, confidence: 0.13194444444444445, lift: 1.3423913043478262, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 144
(?d schema:elevation <http://www.wikidata.org/value/e6301c35404e9a3ebd03206677905983>) ^ (?d <http://schema.org/location> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:podilNezamestnanych <<9.43__11.5)_ef10_10/10>) | support: 23, headCoverage: 0.014041514041514042, confidence: 0.1419753086419753, lift: 1.3288888888888888, headConfidence: 0.10683760683760683, headSize: 1638, bodySize: 162
(?d <http://schema.org/gender> yago:male_Q6581097) ^ (?d <http://schema.org/birthPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<10695.5__11971.0)_ef10_4/10>) | support: 21, headCoverage: 0.01282051282051282, confidence: 0.12962962962962962, lift: 1.3188405797101448, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 162
(?d <http://schema.org/gender> yago:male_Q6581097) ^ (?d <http://schema.org/birthPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<6297.0__8219.0)_ef10_1/10>) | support: 21, headCoverage: 0.01282051282051282, confidence: 0.12962962962962962, lift: 1.3188405797101448, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 162
(?d schema:elevation <http://www.wikidata.org/value/6c888c6d213b22d0d3e0b3aa020b289b>) ^ (?d <http://schema.org/location> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:podilNezamestnanych <<8.36__9.43)_ef10_9/10>) | support: 19, headCoverage: 0.0115995115995116, confidence: 0.13194444444444445, lift: 1.2864583333333335, headConfidence: 0.10256410256410256, headSize: 1638, bodySize: 144
(?d <http://schema.org/nationality> yago:Czechoslovakia) ^ (?d <http://schema.org/alumniOf> ?c) ^ (?b <http://schema.org/subOrganization> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<8219.0__9024.0)_ef10_2/10>) | support: 18, headCoverage: 0.01098901098901099, confidence: 0.125, lift: 1.2717391304347827, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 144
(?d <http://schema.org/sameAs> "https://vi.wikipedia.org/wiki/%C3%9Ast%C3%AD_nad_Labem_(v%C3%B9ng)") ^ (?d <http://schema.org/foundingDate> ?c) ^ (?b <http://schema.org/foundingDate> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<12994.5__14786.5)_ef10_6/10>) | support: 18, headCoverage: 0.01098901098901099, confidence: 0.125, lift: 1.2717391304347827, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 144
(?d <http://schema.org/containsPlace> yago:Kutná_Hora_District) ^ (?d <http://schema.org/foundingDate> ?c) ^ (?b <http://schema.org/foundingDate> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<10695.5__11971.0)_ef10_4/10>) | support: 18, headCoverage: 0.01098901098901099, confidence: 0.125, lift: 1.2717391304347827, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 144
(?d <http://schema.org/sameAs> "https://be-tarask.wikipedia.org/wiki/%D0%9A%D1%80%D0%B0%D0%B9_%D0%92%D1%8B%D1%81%D0%B0%D1%87%D1%8B%D0%BD%D0%B0") ^ (?d <http://schema.org/foundingDate> ?c) ^ (?b <http://schema.org/foundingDate> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:podilNezamestnanych <<5.61__6.14)_ef10_4/10>) | support: 18, headCoverage: 0.01098901098901099, confidence: 0.125, lift: 1.2717391304347827, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 144
(?d schema:elevation <http://www.wikidata.org/value/da51671931c095627a5018de38d2ac7b>) ^ (?c <http://schema.org/containsPlace> ?d) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:podilNezamestnanych <<4.28__4.89)_ef10_2/10>) | support: 18, headCoverage: 0.01098901098901099, confidence: 0.125, lift: 1.2717391304347827, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 144
(?d <http://schema.org/sameAs> "https://be-tarask.wikipedia.org/wiki/%D0%9A%D1%80%D0%B0%D0%B9_%D0%92%D1%8B%D1%81%D0%B0%D1%87%D1%8B%D0%BD%D0%B0") ^ (?d <http://schema.org/foundingDate> ?c) ^ (?b <http://schema.org/foundingDate> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<6297.0__8219.0)_ef10_1/10>) | support: 18, headCoverage: 0.01098901098901099, confidence: 0.125, lift: 1.2717391304347827, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 144
(?d schema:elevation <http://www.wikidata.org/value/838ceaff85bba5fb3d7044ac79328a55>) ^ (?d <http://schema.org/location> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:podilNezamestnanych <<2.85__4.28)_ef10_1/10>) | support: 18, headCoverage: 0.01098901098901099, confidence: 0.125, lift: 1.2717391304347827, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 144
(?d schema:elevation <http://www.wikidata.org/value/da51671931c095627a5018de38d2ac7b>) ^ (?d <http://schema.org/location> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:podilNezamestnanych <<8.36__9.43)_ef10_9/10>) | support: 18, headCoverage: 0.01098901098901099, confidence: 0.125, lift: 1.21875, headConfidence: 0.10256410256410256, headSize: 1638, bodySize: 144
(?d <http://schema.org/deathPlace> yago:Prague) ^ (?d <http://schema.org/alumniOf> ?c) ^ (?b <http://schema.org/subOrganization> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:podilNezamestnanych <<7.85__8.36)_ef10_8/10>) | support: 18, headCoverage: 0.01098901098901099, confidence: 0.125, lift: 1.21875, headConfidence: 0.10256410256410256, headSize: 1638, bodySize: 144
(?d schema:elevation <http://www.wikidata.org/value/c3c65b39af4955892303873a6ca89741>) ^ (?c <http://schema.org/containsPlace> ?d) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:podilNezamestnanych <<4.28__4.89)_ef10_2/10>) | support: 19, headCoverage: 0.0115995115995116, confidence: 0.11728395061728394, lift: 1.1932367149758454, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 162
(?d <http://schema.org/gender> yago:male_Q6581097) ^ (?d <http://schema.org/birthPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:podilNezamestnanych <<4.89__5.61)_ef10_3/10>) | support: 19, headCoverage: 0.0115995115995116, confidence: 0.11728395061728394, lift: 1.1932367149758454, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 162
(?d <http://schema.org/award> yago:Obec_přátelská_rodině_Q10817099) ^ (?c <http://schema.org/containsPlace> ?d) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<14786.5__18294.0)_ef10_7/10>) | support: 23, headCoverage: 0.014041514041514042, confidence: 0.11616161616161616, lift: 1.1818181818181819, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 198
(?d <http://schema.org/gender> yago:male_Q6581097) ^ (?d <http://schema.org/birthPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<9024.0__10695.5)_ef10_3/10>) | support: 18, headCoverage: 0.01098901098901099, confidence: 0.1111111111111111, lift: 1.1818181818181817, headConfidence: 0.09401709401709402, headSize: 1638, bodySize: 162
(?d <http://schema.org/gender> yago:male_Q6581097) ^ (?d <http://schema.org/birthPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:podilNezamestnanych <<6.14__6.74)_ef10_5/10>) | support: 18, headCoverage: 0.01098901098901099, confidence: 0.1111111111111111, lift: 1.1304347826086956, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 162
(?d <http://schema.org/gender> yago:male_Q6581097) ^ (?d <http://schema.org/birthPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<11971.0__12994.5)_ef10_5/10>) | support: 18, headCoverage: 0.01098901098901099, confidence: 0.1111111111111111, lift: 1.1304347826086956, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 162
(?d schema:elevation <http://www.wikidata.org/value/23771c7293f43066d193553c3fe2330e>) ^ (?d <http://schema.org/location> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:podilNezamestnanych <<7.29__7.85)_ef10_7/10>) | support: 18, headCoverage: 0.01098901098901099, confidence: 0.1111111111111111, lift: 1.1304347826086956, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 162
(?d schema:elevation <http://www.wikidata.org/value/c3c65b39af4955892303873a6ca89741>) ^ (?d <http://schema.org/location> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:podilNezamestnanych <<7.29__7.85)_ef10_7/10>) | support: 18, headCoverage: 0.01098901098901099, confidence: 0.1111111111111111, lift: 1.1304347826086956, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 162
(?d <http://schema.org/gender> yago:male_Q6581097) ^ (?d <http://schema.org/birthPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<14786.5__18294.0)_ef10_7/10>) | support: 18, headCoverage: 0.01098901098901099, confidence: 0.1111111111111111, lift: 1.1304347826086956, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 162
(?d <http://schema.org/containsPlace> ?c) ^ (?c <http://schema.org/containedInPlace> ?d) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:podilNezamestnanych <<8.36__9.43)_ef10_9/10>) | support: 24, headCoverage: 0.014652014652014652, confidence: 0.1111111111111111, lift: 1.0833333333333333, headConfidence: 0.10256410256410256, headSize: 1638, bodySize: 216
(?d <http://schema.org/containsPlace> ?c) ^ (?c <http://schema.org/containedInPlace> ?d) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:podilNezamestnanych <<7.85__8.36)_ef10_8/10>) | support: 24, headCoverage: 0.014652014652014652, confidence: 0.1111111111111111, lift: 1.0833333333333333, headConfidence: 0.10256410256410256, headSize: 1638, bodySize: 216
(?d <http://schema.org/nationality> yago:Czech_Republic) ^ (?d <http://schema.org/alumniOf> ?c) ^ (?b <http://schema.org/subOrganization> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<8219.0__9024.0)_ef10_2/10>) | support: 23, headCoverage: 0.014041514041514042, confidence: 0.10648148148148148, lift: 1.0833333333333333, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 216
(?d <http://schema.org/nationality> yago:Czech_Republic) ^ (?d <http://schema.org/alumniOf> ?c) ^ (?b <http://schema.org/subOrganization> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:podilNezamestnanych <<2.85__4.28)_ef10_1/10>) | support: 23, headCoverage: 0.014041514041514042, confidence: 0.10648148148148148, lift: 1.0833333333333333, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 216
(?d <http://schema.org/nationality> yago:Czech_Republic) ^ (?d <http://schema.org/alumniOf> ?c) ^ (?b <http://schema.org/subOrganization> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<11971.0__12994.5)_ef10_5/10>) | support: 23, headCoverage: 0.014041514041514042, confidence: 0.10648148148148148, lift: 1.0833333333333333, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 216
(?d <http://schema.org/containsPlace> ?c) ^ (?c <http://schema.org/containedInPlace> ?d) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:podilNezamestnanych <<7.29__7.85)_ef10_7/10>) | support: 23, headCoverage: 0.014041514041514042, confidence: 0.10648148148148148, lift: 1.0833333333333333, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 216
(?d <http://schema.org/containsPlace> ?c) ^ (?c <http://schema.org/containedInPlace> ?d) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<9024.0__10695.5)_ef10_3/10>) | support: 22, headCoverage: 0.013431013431013432, confidence: 0.10185185185185185, lift: 1.0833333333333333, headConfidence: 0.09401709401709402, headSize: 1638, bodySize: 216
